title	link	date	abstract	author	surtitle	source
Jemens Regierung hält nichts von Corona-Statistiken	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20200603_6798980	2020-06-03	"Da ist zum Beispiel die Geschichte mit dem alten Mann in Sanaa, der sich nach einem Streit mit seinem Sohn wutentbrannt zu Fuß auf den Weg ins ...
         ..Im Jemen breitet sich nicht nur das Coronavirus mit zunehmender Geschwindigkeit aus...  ..UN-Hilfsorganisationen warnen schon länger vor einem Massensterben, sollte die Corona-Pandemie den Jemen erfassen...  ..Im Süden des Jemen bekriegen sich auch die Regierung Hadis und Sezessionisten weiter..."	Christoph Ehrhardt	UN warnen vor Massensterben	FAZ
Riad weist Separatisten zurück	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20200427_6743501	2020-04-27	"Im Jemen-Konflikt hat die von Saudi-Arabien angeführte Militärkoalition die Autonomie-Erklärung von Separatisten in der strategisch wichtigen ...
         ..Im Jemen-Konflikt hat die von Saudi-Arabien angeführte Militärkoalition die Autonomie-Erklärung von Separatisten in der strategisch.."		Krieg im Jemen	FAZ
Der Krieg im Jemen eskaliert	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD1202004275989123	2020-04-27	"Die saudischen Soldaten wirkten nicht sonderlich schockiert. Sie posierten sogar fröhlich auf einem Erinnerungsbild. Milizionäre der südjemenitischen ...
         ..freundliche Bilder von den Sezessionisten verbreitet wurden, eine Eskalation des seit fünf Jahren andauernden Kriegs im Jemen..  ..Sie sucht eigentlich einen gesichtswahrenden Ausweg aus der Intervention im Jemen, die sie vor fünf Jahren begonnen hat..."		Allianz gegen Houthi zerbricht und neue Front im Süden / Von Christoph Ehrhardt	FAZ
Eskalation in Zeiten von Flut und Seuchen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20200426_6742983	2020-04-26	"Die saudischen Soldaten wirkten nicht sonderlich schockiert. Sie posierten sogar fröhlich auf einem Erinnerungsbild. Milizionäre der südjemenitischen ...
         ..freundliche Bilder von den Sezessionisten verbreitet wurden, eine Eskalation des seit fünf Jahren andauernden Kriegs im Jemen..  ..Sie sucht eigentlich einen gesichtswahrenden Ausweg aus der Intervention im Jemen, die sie vor fünf Jahren begonnen hat..."	Christoph Ehrhardt	Krieg im Jemen	FAZ
Warnung vor drohender Ölpest vor Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20220510_8018714	2022-05-10	"Seit Jahren liegt der 45 Jahre alte Öltanker ""FAS Safer"" vor der Küste Jemens. Experten warnen nun vor einem Auseinanderbrechen des Schiffes ...
         ..Die UN hat vor Milliardenkosten gewarnt, falls ein vor der Küste des Jemen aufgegebener Öltanker zerbricht...  ..Der UN-Koordinator für humanitäre Hilfe im Jemen, David Gressly, warnte am Montag, dass ein jüngster Besuch mit technischen..  ..Die UNO betrachtet die Krise im Jemen als größte humanitäre Katastrophe weltweit.

AFP.."		Umweltkatastrophe	FAZ
Ramstein vor Gericht	https://www.faz-biblionet.de/faz-portal/document?uid=FAZE__fazein_222425	2019-03-20	DÜSSELDORF, 19. März. Schon seit einigen Jahren befassen sich Gerichte mit der Frage, ob die Bundesrepublik Deutschland eine Mitverantwortung ...		<header>Drei Kläger aus dem Jemen sind mit ihrer Klage gegen den amerikanischen Drohnenkrieg gescheitert, aber das OVG Münster hat Deutschland ...	FAZ
Senat stimmt für Resolution zum Jemen-Krieg	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD1201903155661615	2019-03-15	"cheh. BEIRUT, 14. März. Der amerikanische Senat hat den Druck auf Präsident Donald Trump erhöht, die Unterstützung für den Kriegseinsatz der ...
         ..den Druck auf Präsident Donald Trump erhöht, die Unterstützung für den Kriegseinsatz der saudisch geführten Koalition im Jemen..  ..Bei dem Streit geht es nicht nur um den ruinösen Abnutzungskrieg im Jemen, der das Land in eine humanitäre Katastrophe gestürzt..  ..Muhammad Bin Salman gilt als die treibende Kraft hinter dem saudischen Jemen-Engagement gegen die von Iran geförderten Houthi-Rebellen.."			FAZ
Senat stimmt für Resolution zum Jemen-Krieg	https://www.faz-biblionet.de/faz-portal/document?uid=FAZE__fazein_220189	2019-03-15	"cheh. BEIRUT, 14. März. Der amerikanische Senat hat den Druck auf Präsident Donald Trump erhöht, die Unterstützung für den Kriegseinsatz der ...
         ..den Druck auf Präsident Donald Trump erhöht, die Unterstützung für den Kriegseinsatz der saudisch geführten Koalition im Jemen..  ..Bei dem Streit geht es nicht nur um den ruinösen Abnutzungskrieg im Jemen, der das Land in eine humanitäre Katastrophe gestürzt..  ..Muhammad Bin Salman gilt als die treibende Kraft hinter dem saudischen Jemen-Engagement gegen die von Iran geförderten Houthi-Rebellen.."		Amerika	FAZ
Senat stimmt für Ende der Beteiligung am Jemen-Krieg	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20190314_6088111	2019-03-14	"Der Senat hat Präsident Donald Trump zur Beendigung der Zusammenarbeit mit Saudi-Arabien im jemenitischen Bürgerkrieg aufgefordert. Die Vereinigten ...
         ..Die Vereinigten Staaten sollen ihre militärische Unterstützung für die von Riad geführte Koalition im Jemen-Krieg einstellen..  ..Im Jemen herrscht seit 2014 ein Krieg zwischen den vom Iran unterstützten Huthi-Rebellen und den von Saudi-Arabien und anderen..  ..Eine Zeit lang halfen sie auch bei der Luftbetankung von Kampfflugzeugen im Jemen-Einsatz.

AFP

AFP.."		Vereinigte Staaten	FAZ
Regierung erlaubt deutlich mehr Waffenexporte	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD2201907125756236	2019-07-12	"ufe. FRANKFURT, 11. Juli. Deutschlands Waffenexporte steigen kräftig. Nach einem niedrigen Niveau im vergangenen Jahr hat die Bundesregierung ...
         ..Beide Staaten sind Mitglieder der von Saudi-Arabien geführten Allianz, die schon seit Jahren im Jemen Krieg gegen die Houthi-Rebellen..  ..Versprechen, Kriegsparteien nicht mit Rüstungsgütern zu beliefern, und ist mitschuldig an Tod und Leid der Menschen im Jemen..  ..bestehen, dass endmontierte Güter nicht an Saudi-Arabien oder die Vereinigten Arabischen Emirate geliefert werden und damit im Jemen-Krieg.."		Auch in den Jemen-Krieg verstrickte Staaten profitieren	FAZ
