id	title	kampfhandlungen	militaerische-unterstuetzung	verhandlungen	humanitaer-klima	humanitaer-hunger	humanitaer-krankheiten	humanitaer-flucht	humanitaer_Hilfe	wirtschaft
125	Eine menschengemachte Katastrophe	0	0	0	0	0	0	0	2	0
126	UN warnen vor Verschärfung der Hungersnot	0	0	0	0	1	0	0	0	0
127	Saudi-Arabien könnte zu spät kommen	1	0	0	0	0	0	0	0	0
128	Saudi-Arabien bereit zu Militärintervention im Jemen	2	0	0	0	0	0	0	0	0
129	Houthi-Rebellen: Verteidigungsminister in unserer Hand	2	0	0	0	0	0	0	0	0
131	Tote bei Gefechten im Jemen	2	1	0	0	0	0	0	0	0
133	Rotes Kreuz warnt vor Fluchtwelle im Jemen	1	0	0	0	0	1	0	0	0
134	Dutzende Tote bei Kämpfen um Hafen	2	0	0	0	0	0	0	0	0
135	Houthi-Rebellen stürmen Präsidentenpalast	3	0	1	0	0	0	0	0	0
137	Eine Eigendynamik im Krieg um den Jemen	1	0	0	0	0	0	0	0	0
138	Im Jemen F-15 gegen den Krummdolch	1	0	0	0	0	0	0	0	0
139	Flüchtlingslager im Jemen bei Luftangriff getroffen	1	1	0	0	0	0	1	0	0
140	Regionalmächte sollten im Jemen vermitteln	1	0	0	0	0	0	0	0	0
141	Krieg im Jemen droht zum Flächenbrand zu werden	1	0	0	0	0	0	0	0	0
142	Heftige Gefechte in Aden, Luftangriffe in Sanaa	1	0	0	1	0	0	0	0	0
143	Im Zermürbungswettbewerb	0	0	0	0	0	0	0	1	0
144	Im Jemen droht eine Hungerkatastrophe	0	1	0	0	1	0	0	1	0
145	14 Millionen Menschen von Hungersnot bedroht	0	0	0	0	1	0	0	1	0
146	Testfall Jemen	1	6	1	0	0	0	0	1	0
147	Al-Wazir verurteilt Waffenlieferungen an Saudi-Arabien	0	1	0	0	0	0	0	0	0
148	14 Zivilisten bei Luftangriff auf Stadt Marib getötet	2	0	1	0	0	0	1	0	1
149	Huthi rücken auf letzte Regierungs-Hochburg im Norden Jemens vor	1	0	0	0	0	0	0	0	0
150	Im Jemen droht 400.000 Kindern der Hungertod	0	0	0	0	1	0	0	0	0
151	Deals und schwere Kämpfe	0	0	0	0	0	0	0	1	0
152	Vormarsch mit Deals und schweren Kämpfen	0	0	0	0	0	0	0	1	0
153	Saudi-Arabien fängt Raketen aus Jemen ab	1	0	0	0	0	0	0	0	0
154	Mehr als 30 Tote bei Angriffen im Jemen	1	0	0	0	0	0	1	0	0
155	Deutschland liefert wieder Rüstungsgüter an Konfliktparteien	1	2	0	0	0	0	0	1	0
156	Jemen stoppt Import von Luxusgütern	0	0	0	0	0	0	0	0	4
157	UN prangern im Jemen Kriegsverbrechen an	3	0	0	0	0	0	0	0	0
158	UN prangern Kriegsverbrechen an	2	1	0	0	0	0	0	0	0
159	UN prangern Kriegsverbrechen an	2	1	0	0	0	0	0	0	0
160	UN-Ermittler werfen Saudi-Arabien Kriegsverbrechen vor	1	0	0	0	0	0	2	0	0
161	Abnutzungskrieg	0	0	0	0	1	0	0	0	0
162	Saudi-Arabien zerstört Jemens Flottenstützpunkt	1	0	1	0	0	0	0	0	0
163	UN-Initiative für den Jemen	1	0	3	0	0	0	0	0	0
164	Waffenruhe im Jemen nicht verlängert	0	0	3	0	1	0	0	0	0
165	Gefechte trotz Feuerpause	1	1	2	0	1	0	0	0	0
166	Luftangriffe im Jemen	1	0	1	0	1	0	0	0	0
167	Vereinte Nationen prangern Luftangriffe im Jemen an	2	0	0	0	0	0	0	0	0
168	Saudi-Arabien stimmt Feuerpause im Jemen zu	2	0	1	0	0	0	0	0	0
169	Saudi-Arabien stimmt Feuerpause im Jemen zu	2	0	1	0	0	0	0	0	0
170	Senegal beteiligt sich am Krieg im Jemen	0	1	2	0	0	0	0	0	0
171	Senegal beteiligt sich am Krieg im Jemen	0	1	1	0	0	0	0	0	0
172	Militärkoalition greift Ziele von Houthi-Rebellen im Jemen an	3	0	0	0	0	0	1	0	0
173	Angriffe kamen nach saudischen Angaben nicht aus dem Jemen	5	0	0	0	0	0	0	0	0
174	Pompeo: Beispielloser Angriff Irans auf die Welt-Energieversorgung	2	0	1	0	0	0	0	0	0
175	Viele Tote nach Raketenangriff im Jemen	4	0	0	0	0	0	0	0	0
176	Mindestens 60 Tote nach Angriff auf Trainingscamp	4	0	0	0	0	0	0	0	0
177	Ein umfassender Schlag gegen Irans militärische Fähigkeiten?	3	0	0	0	0	0	0	0	0
178	UN: Angriff auf saudische Ölanlagen nicht aus Jemen	4	0	0	0	0	0	0	0	0
179	Zahl der Cholera-Opfer im Jemen steigt stark an	0	0	0	0	0	4	0	0	0
180	Warum die Houthi-Rebellen es Biden im Jemen schwer machen	1	1	0	0	0	0	0	0	0
181	Neue diplomatische Initiative zu Jemen	0	0	1	0	0	0	0	0	0
182	Amerika will Hilfe für Riad im Jemen einstellen	1	2	0	0	1	0	0	0	0
183	Raketen über Riad	1	0	0	0	1	0	0	0	0
184	Neue Kämpfe und alte Probleme im Jemen-Krieg	2	1	0	0	1	0	0	0	0
185	UN-Gesandter verurteilt Angriff im Jemen	2	0	0	0	0	0	0	0	0
186	Schwere Explosion im Jemen	4	0	0	0	0	0	0	0	0
187	Anschlag auf neue Regierung Jemens	1	0	0	0	0	0	0	0	0
188	Erschöpfung lässt hoffen	0	1	0	0	0	0	0	0	0
189	Zaghafte Hoffnung im Jemen	0	0	1	0	0	0	0	0	0
190	Friedensplan für den Jemen	0	0	1	0	0	0	0	0	0
191	Was ist das Friedensabkommen von Riad wert?	0	0	1	0	0	0	0	0	0
193	Mehr als 140 Tote im Jemen	3	0	0	0	0	0	0	0	0
194	Jemenitische Tragödie	0	0	0	0	1	0	0	0	0
195	Jemenitischer Abnutzungskrieg	1	0	0	0	0	0	0	0	0
196	Selbstmordattentäter tötet in Jemen 30 Menschen	4	0	0	0	0	0	0	0	0
197	Große Opfer, wenig Erfolge	5	0	0	0	1	0	0	0	0
198	Tote bei Luftangriff auf Krankenhaus	2	0	0	0	0	0	0	0	0
199	Große Opfer, wenig Erfolge	5	0	0	0	1	0	0	0	0
